Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
192,809619,1/14/2009,Congressman Robert Mocny,"The US-VISIT Program submits this report annually to Congress to comply with the requirements of the Data Management Improvement Act of 2000 (DMIA) (Public Law 106-215, amending Section 110 of the Illegal Immigration Reform and Immigrant Responsibility Act of 1996, 8 U.S.C. § 1365a) and the Visa Waiver Permanent Program Act (Public Law 106-396, amending the Immigration and Nationality Act (INA) to make improvements to, and permanently authorize, the visa waiver pilot program under Section 217 of the INA, 8 U.S.C. § 1187). This report provides the information about the automated data system^,s recording and matching of alien arrivals and departures and about the enhanced features for security and law enforcement screening. This annual report includes data collected from October 1, 2007 through September 30, 2008.",,,,,,,,,,
193,,,,,,,,,,,,,,
194,808687,1/7/2009,Congressman Dennis Moore,Representative Moore writes on behalf of constituent [(bt(ib regarding U.S. government concerns relating to illegal immigrants.,,,,,,,,,,
195,808691,1/7/2009,Congressman Dennis Moore,"Rep. Moore writes on behalf of constituent(bt,lb    regarding ICE classifications of illegal immigrants.",,,,,,,,,,
196,811413,1/30/2009,Congressman Dennis Moore,Regarding pending deportation of her husband lbb 6>,,,,,,,,,,
197,810318,1/20/2009,Congressman Jerry Moran,concerning her immigration case.,,,,,,,,,,
198,808421,10/8/2008,Congressman Lee Morris,"CBP Annual Report on the International Trade Committee (SAFE Port Act Sec, 402 (e))",,,,,,,,,,
199,808425,10/8/2008,Congressman Lee Morris,CBP Annual Report on Allocation of 200 CBP Officers (SAFE Port Act Sec. 403(h)(2),,,,,,,,,,
200,,,,,,,,,,,,,,
201,809012,10/24/2008,Congressman Lee Morris,"GA)-08-862 International Marriage Broker Regulation Act (IMBRA) of 2005: Agencies Have Implemented Some, but Not All of the Act's Requirements",,,,,,,,,,
202,809024,10/24/2008,Congressman Lee Morris,CBP Report to Congress - Safe Port Act 403 (h)(4): Resources directed to commercial and trade functions,,,,,,,,,,
203,808097,1/2/2009,Senator Lisa Murkowski,"egarding a pending application for naturalization, for his wife,(b)(0)",,,,,,,,,,
204,808832,1/8/2009,Congressman Ben Nelson,Writes on behalf of constituents concerned about staffing reductions at the USCIS Nebraska Service Center.,,,,,,,,,,
205,810735,1/23/2009,Senator Bill Nelson,Sen. Nelson writes in support of a Federal grant for the Gainsville Alchua County Regional Airport Authority’s Law Enforcement Officer Reimbursement Porgram.,,,,,,,,,,
206,811286,1/29/2009,Senator Bill Nelson,Status of 1-601 for husband(b}t6),,,,,,,,,,
207,,,,,,,,,,,,,,
208,808570,1/5/2009,Congressman Eleanor Holmes Norton,(b!(6)    lequests status of their N-400 cases,,,,,,,,,,
209,808524,1/6/2009,Congressman Solomon P. Ortiz,"|<b><6)    |regarding his wife's, |<b)(6>    | <b:Hl3*    | immigration status at AAO.",,,,,,,,,,
