Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
199,852677,1/8/2010,Congressman John J. Hall,(b)(6-'    regarding the status of an I-601appeal.,,,,,,,,,,,
200,853437,1/14/2010,Congressman John J. Hall,"<bK6)    filed 1-601 for his wife,(b)<6) (b)(6)",,,,,,,,,,,
201,854456,1/27/2010,Congressman Jane Harman,Rep. Harman urges the expeditious installation of scanning machines in key airports and is ready to assist of additional funds are required.,,,,,,,,,,,
202,853531,1/15/2010,Congressman Alcee L. Hastings,Re status of 1-730 Fee waived for (b>(6> (b)(6),,,,,,,,,,,
203,852842,1/9/2010,Congressman Doc Hastings,(b!<6>    filed 1-601 for her huband lbX6) (b)(6),,,,,,,,,,,
204,853402,1/14/2010,Congressman Martin Heinrich,Constituent (b)(6)    vrites regarding his denial to enter the Coast Guard,,,,,,,,,,,
205,,,,,,,,,,,,,,,
206,853445,1/14/2010,Congressman Martin Heinrich,"<b)<6)    'egarding hardship case for her husband, Mr. (b)(6)     ",,,,,,,,,,,
207,854309,1/25/2010,Congressman Jim Himes,"(bx6>    leganlins? releasing a lien placed on his propertv as secured bond for a deported alien, who is now in Colombia.",,,,,,,,,,,
208,854500,1/27/2010,Congressman Jim Himes,The customer has concerns that the process for the Form 1-485 will not be processed before the daughter ages out.,,,,,,,,,,,
209,852773,1/8/2010,Congressman Rush Holt,<bXe>    Status of 1-130.,,,,,,,,,,,
210,852835,1/9/2010,Congressman Rush Holt,(b> b'    regarding her 1-751,,,,,,,,,,,
211,852836,1/9/2010,Congressman Rush Holt,(b)(6>    Regarding I-130,,,,,,,,,,,
212,853924,1/21/2010,Congressman Rush Holt,Suggests adjusting the standards and expediting the process for adjudicating humanitarian parole for at-risk Haitian children with U.S. relatives.,,,,,,,,,,,
213,853128,1/12/2010,Congressman Michael M. Honda,Status of N-400.,,,,,,,,,,,
214,,,,,,,,,,,,,,,
215,853801,2/12/2009,Congressman James Howe,USCG Report to Congress - Annual Report on Rescue 21 (2008),,,,,,,,,,,
216,853809,2/12/2009,Congressman James Howe,USCG - Report to Congress: Critical Skills Retention Bonus (CSRB),,,,,,,,,,,
