comid,UltOrg,Affiliate,PACShort
C00100347,Entergy Corp,Entergy Corp,Entergy Mississippi; Mississippi Power & Light
C00100727,Entergy Corp,Entergy Corp,Entergy Services
C00100826,Circle K Corp,"NA",Circle K Corp
C00101592,Puget Sound Energy; Puget Equico; Puget Sound Power & Light,NA; Puget Sound Energy,Puget Sound Energy; Puget Sound Power & Light
C00101709,Peoples Energy,"NA",Peoples Energy
C00102087,Mustang Energy Corp; Gulf Resources Corp,"NA",Mustang Energy Corp; Mustang Fuel Corp
C00102152,Washington Gas Light Co,"NA",Washington Gas Light Co
C00102160,Northeast Utilities; Eversource Energy,NA; Northeast Utilities,Northeast Utilities; Eversource Energy
C00102798,TNP Enterprises; Texas-New Mexico Power,"NA",Texas-New Mexico Power
C00102947,DPL Inc; AES Corp; Dayton Power & Light,NA; AES Corp,Dayton Power & Light
C00103028,KN Energy,"NA",KN Energy
C00103697,Bechtel Group,"NA",Bechtel Group
C00103788,Entergy Corp; Gulf States Utilities,Entergy Corp; NA,Entergy Gulf States; Gulf States Utilities
C00103911,Mississippi Valley Gas Co,"NA",Mississippi Valley Gas Co
C00103978,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Indiana ACRE
C00104810,Enron Corp,NA; Enron Corp,Enron Corp
C00106625,Noble Affiliates,"NA",Noble Affiliates
C00107771,Xcel Energy; Northern States Power,Xcel Energy; NA,Xcel Energy; Northern States Power
C00107813,WPS Resources; Integrys Energy Group; Wisconsin Public Service Corp,WPS Resources; NA; Integrys Energy Group,Wisconsin Public Service Corp
C00108209,Dominion Resources,Dominion Resources; NA,Dominion Resources
C00109264,Iowa-Illinois Gas & Electric; MidAmerican Energy Co,NA; MidAmerican Energy Co,Iowa-Illinois Gas & Electric; MidAmerican Energy Co
C00109546,Valero Energy,"NA",Valero Energy
C00109793,American Petrofina; Fina Inc,"NA",American Petrofina; Fina Inc
C00109801,Entergy Corp,Entergy Corp,Louisiana Power & Light
C00110973,Conectiv; Delmarva Power & Light,"NA",Conectiv; Delmarva Power & Light
C00111310,Kansas City Power & Light; Great Plains Energy; Evergy Inc,NA; Great Plains Energy; Evergy Inc,Kansas City Power & Light
C00111427,Mid-Continent Oil & Gas Assn; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn; NA; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn
C00112896,Phillips Petroleum; ConocoPhillips,NA; Phillips Petroleum; ConocoPhillips,Phillips Petroleum; ConocoPhillips
C00113035,Entergy Corp,Entergy Corp,Entergy Arkansas; Arkansas Power & Light
C00113233,Research-Cottrell,"NA",Research-Cottrell
C00114207,Louisiana Energy PAC,"NA",Louisiana Energy PAC
C00115030,AES Corp; Indianapolis Power & Light; Ipalco Enterprises,AES Corp; NA,Ipalco Enterprises; Indianapolis Power & Light
C00115212,Entergy Corp,Entergy Corp,New Orleans Public Service Inc
C00115345,USX Corp; Koch Industries,USX Corp; Koch Industries,Delhi Gas Pipeline Corp
C00116004,Northville Industries,"NA",Northville Industries
C00116145,Interstate Natural Gas Assn of America,"NA",Interstate Natural Gas Assn of America
C00116400,Tosco Corp; Phillips Petroleum,NA; Phillips Petroleum,Tosco Corp; Phillips Petroleum
C00117226,Kentucky Gasoline Dealers Assn,"NA",Kentucky Gasoline Dealers Assn
C00118885,Potomac Electric Power; PEPCO Holdings,NA; PEPCO Holdings,Potomac Electric Power
C00118935,Central Illinois Public Service Co,"NA",Central Illinois Public Service Co
C00119321,NSTAR; Boston Edison,"NA",NSTAR; Boston Edison
C00119776,Southern Co,Southern Co,Georgia Power
C00120030,Society of Independent Gasoline Marketers,"NA",Society of Independent Gasoline Marketers
C00120519,Southern Co,Southern Co,Gulf Power
C00120808,Mid-Continent Oil & Gas Assn; Dixie Oil Producers; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn; NA; Mid-Con Oil & Gas,Mid-Continent Oil & Gas Assn/Ala Div; Dixie Oil Producers; Mid-Continent Oil & Gas Assn/MS-AL Div
C00121368,Exxon Mobil; Exxon Corp,Exxon Mobil; NA,Exxon Mobil; Exxon Corp
C00125658,Niagara Mohawk Power,"NA",Niagara Mohawk Power
C00125732,Black Hills Corp; Black Hills Power & Light,"NA",Black Hills Corp; Black Hills Power & Light
C00127381,BOC Group,"NA",BOC Group
C00129205,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,South Dakota ACRE
C00129270,Tesoro Petroleum,"NA",Tesoro Petroleum
C00130575,GPU Inc; FirstEnergy Corp; General Public Utilities,NA; FirstEnergy Corp,GPU Inc; General Public Utilities
C00131235,Public Service Co of Colorado; New Century Energies,NA; New Century Energies,Public Service Co of Colorado
C00131375,Energy Consumers & Producers Assn,"NA",Energy Consumers & Producers Assn
C00131540,Independent Producers Group,"NA",Independent Producers Group
C00132092,Alliant Energy; Wisconsin Power & Light; Alliant Inc,NA; Alliant Inc,Alliant Energy; Wisconsin Power & Light; Alliant Inc
C00133462,Iowa-Illinois Gas And Electric Co; Mid-American Energy Co,"NA",Iowa-Illinois Gas And Electric Co; Mid-American Energy Co
C00133561,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Oklahoma ACRE
C00133660,Independent Energy PAC,"NA",Independent Energy PAC
C00135764,New Jersey Gasoline Retailers Assn,"NA",New Jersey Gasoline Retailers Assn
C00135855,Energen Corp; Diamondback Energy; Alagasco Inc,NA; Diamondback Energy,Energen Corp; Alagasco Inc
C00136317,McDermott International,McDermott International,McDermott International
C00139105,Ohio Petroleum Retailers & Repair Assn; Northern Ohio Petroleum Retailers Assn,"NA",Ohio Petroleum Retailers & Repair Assn; Northern Ohio Petroleum Retailers Assn
C00139360,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Montana ACRE
C00139642,American Electric Power,American Electric Power,American Electric Power; Indiana Michigan Power
C00139667,UGI Corp; Ugi Corp,"NA",UGI Corp; Ugi Corp
C00140277,Com/Energy Services,"NA",Com/Energy Services
C00140855,FirstEnergy Corp; Ohio Edison,FirstEnergy Corp; NA,FirstEnergy Corp; Ohio Edison
C00141150,KeySpan Energy; Brooklyn Union Gas,KeySpan Energy; NA,Brooklyn Union Gas
C00141218,Exelon Corp; Commonwealth Edison,Exelon Corp; NA,Exelon Corp; Commonwealth Edison
C00141333,Orange & Rockland Utilities,"NA",Orange & Rockland Utilities
