first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
NA,NA,NA,841,DOJ_CIV,2020-01-30,CEDRIC STEVE RICHMOND SCALISE,,TAYLOR ENERGY COMPANY MC-20A DOJ DELAYED RESPONSE,NA,NA,NA
NA,NA,NA,1049,DOJ_CIV,2020-01-30,CHARLES E./TOM GRASSLEY/COBURN,,COOK COUNTY IMMIGRATION LAW,NA,NA,NA
NA,NA,NA,636,DOJ_CIV,2020-01-31,CARL LEVIN,,RECA,NA,NA,NA
Tom,COLE,NA,775,DOJ_CIV,2020-01-31,TOM COLE,"COLE, Tom",RECA,NA,NA,NA
NA,NA,NA,1044,DOJ_CIV,2020-01-31,MARK KIRK,,VARIOUS LEGAL ISSUES,NA,NA,NA
Adam,SCHIFF,NA,1055,DOJ_CIV,2020-01-31,ADAM B. SCHIFF,"SCHIFF, Adam",PATR OT ACT INVESTIGATION,NA,NA,NA
Addison,McCONNELL,NA,108,DOJ_CIV,2020-02-01,MITCH MCCONNELL,"McCONNELL, Addison Mitchell (Mitch)",RADIATION COMPENSATION,1,"NA",NA
Martin,HEINRICH,NA,141,DOJ_CIV,2020-02-01,MARTIN HEINRICH,"HEINRICH, Martin",COBELL V (b) (6),1,"NA",NA
Ben,LUJAN,NA,142,DOJ_CIV,2020-02-01,BEN RAY LUJAN,"LUJÁN, Ben Ray",COBELL V (b) (6),1,"NA",NA
NA,NA,NA,143,DOJ_CIV,2020-02-01,HARRY TEAGUE,,COBELL V (b) (6),1,"NA",NA
NA,NA,NA,146,DOJ_CIV,2020-02-01,JOHN CONYERS  JR.,,FSIA & COMMERCIAL ACCOUNTABILITY,"NA","NA",NA
Lindsey,GRAHAM,NA,147,DOJ_CIV,2020-02-01,LINDSEY O. GRAHAM,"GRAHAM, Lindsey O.",PIGFORD II/BLACK FARMERS CASE,"NA","NA",NA
Marco,RUBIO,NA,288,DOJ_CIV,2020-02-01,MARCO RUBIO,"RUBIO, Marco",CLAIM FOR COMPENSATION,1,NA,NA
NA,NA,NA,632,DOJ_CIV,2020-02-01,CLAIRE MCCASKILL,,RECA,NA,NA,NA
James,LANKFORD,NA,637,DOJ_CIV,2020-02-01,JAMES LANKFORD,"LANKFORD, James",RECA,NA,NA,NA
Patrick,TOOMEY,NA,639,DOJ_CIV,2020-02-01,PATRICK TOOMEY,"TOOMEY, Patrick Joseph",RECA,NA,NA,NA
NA,NA,NA,648,DOJ_CIV,2020-02-01,MICHAEL MICHAUD,,REQUESTING ASSISTANCE WITH MORTGAGE ISSUE,1,NA,NA
Dianne,FEINSTEIN,NA,649,DOJ_CIV,2020-02-01,DIANNE FEINSTEIN,"FEINSTEIN, Dianne",COBELL SETTLEMENT,NA,NA,NA
NA,NA,NA,1052,DOJ_CIV,2020-02-01,JIM DEMINT,,CASE AGAINST COMPANY,NA,NA,NA
Tammy,BALDWIN,NA,1070,DOJ_CIV,2020-02-01,TAMMY BALDWIN,"BALDWIN, Tammy",GOVERNOR S USE OF MORTGAGE SETTLEMENT,NA,NA,NA
David,SCOTT,NA,1080,DOJ_CIV,2020-02-01,DAVID SCOTT,"SCOTT, David",MED CARE BILLING FRAUD,NA,NA,NA
NA,NA,NA,109,DOJ_CIV,2020-02-02,BARBARA BOXER,,STATUS OF RESP TO CONST LTR TO DOJ,"NA","NA",NA
Ben,LUJAN,NA,110,DOJ_CIV,2020-02-02,BEN RAY LUJAN,"LUJÁN, Ben Ray",CONST COMPLNT AGNST US FOREST SERVICE,"NA","NA",NA
Janice,SCHAKOWSKY,NA,241,DOJ_CIV,2020-02-02,JANICE D SCHAKOWSKY,"SCHAKOWSKY, Janice D.",RADIATION COMPENSATION,1,NA,NA
NA,NA,NA,274,DOJ_CIV,2020-02-02,FRANK LAUTENBERG,,911 VICTIM COMPENSATION FUND,1,NA,NA
Joseph,KENNEDY,NA,350,DOJ_CIV,2020-02-02,JOSEPH KENNEDY,"KENNEDY, Joseph P. III",RECA,NA,NA,NA
